ring,stintID,sex,burrow,start_mass,year,end_mass,foragetrip,forageGain,neglect,prop_rest,prop_flight,prop_forage,phase
FB30024,0,F,120,390,2015,480,7,90,NO,0.076388889,0.697916667,0.225694444,commute
FB30024,0,F,120,390,2015,480,7,90,NO,0.315972222,0.395833333,0.288194444,forage
EZ01635,1,F,95,420,2015,490,8,70,NO,0.1875,0.590277778,0.222222222,commute
FB30024,0,F,120,390,2015,480,7,90,NO,0.371527778,0.190972222,0.4375,forage
FB30034,0,M,46,465,2015,525,7,60,NO,0.479166667,0.222222222,0.298611111,commute
EZ01635,1,F,95,420,2015,490,8,70,NO,0.3125,0.399305556,0.288194444,forage
FB30034,0,M,46,465,2015,525,7,60,NO,0.357638889,0.21875,0.423611111,forage
FB30024,0,F,120,390,2015,480,7,90,NO,0.361111111,0.315972222,0.322916667,forage
EZ01635,1,F,95,420,2015,490,8,70,NO,0.357638889,0.336805556,0.305555556,forage
FB32335,0,F,6,410,2015,465,4,55,NO,0.361111111,0.256944444,0.381944444,commute
FB30024,0,F,120,390,2015,480,7,90,NO,0.458333333,0.295138889,0.246527778,forage
FB30034,0,M,46,465,2015,525,7,60,NO,0.197916667,0.559027778,0.243055556,forage
FB30024,0,F,120,390,2015,480,7,90,NO,0.322916667,0.315972222,0.361111111,forage
FB32335,0,F,6,410,2015,465,4,55,NO,0.416666667,0.069444444,0.513888889,forage
EZ01635,1,F,95,420,2015,490,8,70,NO,0.333333333,0.364583333,0.302083333,forage
FB30034,0,M,46,465,2015,525,7,60,NO,0.461805556,0.270833333,0.267361111,forage
FB30024,0,F,120,390,2015,480,7,90,NO,0.274305556,0.447916667,0.277777778,commute
FB32335,0,F,6,410,2015,465,4,55,NO,0.5,0.048611111,0.451388889,forage
FB30034,0,M,46,465,2015,525,7,60,NO,0.347222222,0.288194444,0.364583333,forage
EZ01635,1,F,95,420,2015,490,8,70,NO,0.416666667,0.298611111,0.284722222,forage
EL60762,0,F,130,370,2015,420,9,50,NO,0.229166667,0.427083333,0.34375,commute
EZ01635,1,F,95,420,2015,490,8,70,NO,0.354166667,0.340277778,0.305555556,forage
FB32335,0,F,6,410,2015,465,4,55,NO,0.506944444,0.145833333,0.347222222,commute
FB30034,0,M,46,465,2015,525,7,60,NO,0.315972222,0.465277778,0.21875,forage
EX93603,0,F,139,465,2015,470,7,5,NO,0.100694444,0.614583333,0.284722222,commute
EX93603,0,F,139,465,2015,470,7,5,NO,0.326388889,0.385416667,0.288194444,forage
FB30072,0,M,140,455,2015,495,6,40,NO,0.125,0.305555556,0.569444444,commute
EX93544,0,F,50,395,2015,400,4,5,NO,0.34375,0.305555556,0.350694444,commute
EZ01635,1,F,95,420,2015,490,8,70,NO,0.451388889,0.232638889,0.315972222,forage
EL60762,0,F,130,370,2015,420,9,50,NO,0.246527778,0.267361111,0.486111111,forage
FB30034,0,M,46,465,2015,525,7,60,NO,0.34375,0.409722222,0.246527778,commute
FB30072,0,M,140,455,2015,495,6,40,NO,0.284722222,0.333333333,0.381944444,forage
FB30047,0,F,46,445,2015,500,9,55,NO,0.225694444,0.423611111,0.350694444,commute
EX93603,0,F,139,465,2015,470,7,5,NO,0.548611111,0.079861111,0.371527778,forage
EX93544,0,F,50,395,2015,400,4,5,NO,0.399305556,0.149305556,0.451388889,forage
EL60762,0,F,130,370,2015,420,9,50,NO,0.246527778,0.277777778,0.475694444,forage
FB30125,0,F,DB10,390,2015,405,4,15,NO,0.427083333,0.25,0.322916667,commute
EZ01635,1,F,95,420,2015,490,8,70,NO,0.472222222,0.350694444,0.177083333,commute
FB32163,0,F,23,355,2015,425,11,70,YES,0.149305556,0.46875,0.381944444,commute
FB30047,0,F,46,445,2015,500,9,55,NO,0.270833333,0.309027778,0.420138889,forage
FB32163,0,F,23,355,2015,425,11,70,YES,0.430555556,0.170138889,0.399305556,forage
FB30072,0,M,140,455,2015,495,6,40,NO,0.506944444,0.104166667,0.388888889,forage
EX93603,0,F,139,465,2015,470,7,5,NO,0.416666667,0.215277778,0.368055556,forage
EX93544,0,F,50,395,2015,400,4,5,NO,0.534722222,0.059027778,0.40625,forage
EL60762,0,F,130,370,2015,420,9,50,NO,0.274305556,0.378472222,0.347222222,forage
FB30125,0,F,DB10,390,2015,405,4,15,NO,0.552083333,0.128472222,0.319444444,forage
EX93544,0,F,50,395,2015,400,4,5,NO,0.65625,0.118055556,0.225694444,commute
FB32163,0,F,23,355,2015,425,11,70,YES,0.375,0.065972222,0.559027778,forage
FB30047,0,F,46,445,2015,500,9,55,NO,0.458333333,0.204861111,0.336805556,forage
EX93603,0,F,139,465,2015,470,7,5,NO,0.482638889,0.173611111,0.34375,forage
FB30072,0,M,140,455,2015,495,6,40,NO,0.423611111,0.0625,0.513888889,forage
FB32335,1,F,6,435,2015,445,5,10,NO,0.229166667,0.166666667,0.604166667,commute
FB30125,0,F,DB10,390,2015,405,4,15,NO,0.458333333,0.131944444,0.409722222,forage
EL60762,0,F,130,370,2015,420,9,50,NO,0.59375,0.086805556,0.319444444,forage
FB20883,0,F,DB33,340,2015,425,6,85,NO,0.40625,0.135416667,0.458333333,commute
FB32163,0,F,23,355,2015,425,11,70,YES,0.503472222,0.034722222,0.461805556,forage
FB32335,1,F,6,435,2015,445,5,10,NO,0.409722222,0.090277778,0.5,forage
