year,ring,sex,stintID,DSL,stintday,mass_chg,mass_chgPer,exp
2015,FB30098,M,3,44,5,-10,-0.023809524,EXP
2015,FB30024,F,2,21,1,NA,NA,EXP
2015,FB30024,F,1,12,5,-15,-0.034482759,EXP
2015,FB30098,M,2,27,3,-15,-0.035294118,EXP
2015,FB30024,F,1,13,6,-10,-0.023809524,EXP
2015,FB30098,M,2,29,5,-5,-0.0125,EXP
2015,FB30098,M,2,26,2,-5,-0.011627907,EXP
2015,FB30024,F,0,0,1,NA,NA,EXP
2015,FB30024,F,1,8,1,NA,NA,EXP
2015,FB30024,F,1,9,2,-20,-0.041666667,EXP
2015,FB30024,F,1,10,3,-20,-0.043478261,EXP
2015,FB30098,M,1,18,5,0,0,EXP
2015,FB30098,M,1,19,6,-15,-0.037037037,EXP
2015,FB30098,M,1,20,7,-20,-0.051282051,EXP
2015,FB30098,M,2,25,1,NA,NA,EXP
2015,FB30098,M,3,46,7,0,0,EXP
2015,FB30024,F,2,22,2,-5,-0.012195122,EXP
2015,FB30098,M,2,28,4,-10,-0.024390244,EXP
2015,FB30098,M,0,5,5,0,0,EXP
2015,FB30098,M,2,30,6,-15,-0.037974684,EXP
2015,FB30098,M,2,31,7,-10,-0.026315789,EXP
2015,FB30098,M,2,32,8,-5,-0.013513514,EXP
2015,FB30098,M,3,40,1,NA,NA,EXP
2015,FB30098,M,3,41,2,-15,-0.032967033,EXP
2015,FB30098,M,3,42,3,-5,-0.011363636,EXP
2015,FB30024,F,1,11,4,-5,-0.011363636,EXP
2015,FB30098,M,3,43,4,-15,-0.034482759,EXP
2015,FB30098,M,3,45,6,-10,-0.024390244,EXP
2015,FB30024,F,4,48,1,NA,NA,EXP
2015,FB30024,F,4,49,2,-20,-0.045454545,EXP
2015,FB30098,M,3,47,8,-10,-0.025,EXP
2015,FB30024,F,2,23,3,-5,-0.012345679,EXP
2015,FB30098,M,0,6,6,-10,-0.024390244,EXP
2015,FB30098,M,0,7,7,0,0,EXP
2015,FB30098,M,1,14,1,NA,NA,EXP
2015,FB30098,M,1,15,2,-20,-0.045977011,EXP
2015,FB30098,M,1,16,3,-10,-0.024096386,EXP
2015,FB30098,M,1,17,4,0,0,EXP
2015,FB30024,F,3,36,4,-5,-0.012195122,EXP
2015,FB30024,F,3,37,5,-5,-0.012345679,EXP
2015,FB30024,F,3,38,6,-20,-0.05,EXP
2015,FB30024,F,3,39,7,-5,-0.013157895,EXP
2015,FB30098,M,0,1,1,NA,NA,EXP
2015,FB30024,F,4,50,3,-20,-0.047619048,EXP
2015,FB30098,M,0,4,4,-25,-0.057471264,EXP
2015,FB30024,F,3,34,2,-15,-0.034482759,EXP
2015,FB30024,F,3,35,3,-10,-0.023809524,EXP
2015,FB30024,F,2,24,4,-15,-0.0375,EXP
2015,FB30024,F,3,33,1,NA,NA,EXP
2015,FB30098,M,0,3,3,-5,-0.011363636,EXP
2015,FB30098,M,0,2,2,-5,-0.011235955,EXP
2016,EY07291,F,2,32,3,-5,-0.011627907,NEW
2016,EY07291,F,2,33,4,-5,-0.011764706,NEW
2016,EY07291,F,2,37,8,-25,-0.061728395,NEW
2016,EY07291,F,2,38,9,-5,-0.013157895,NEW
2016,EY07291,F,2,34,5,-5,-0.011904762,NEW
2016,EY07291,F,0,7,8,-5,-0.014084507,NEW
2016,FB32205,M,0,16,5,-5,-0.011764706,NEW
2016,FB32205,M,2,46,7,0,0,NEW
2016,FB32205,M,2,45,6,-5,-0.011764706,NEW
2016,EY07291,F,0,8,9,-20,-0.057142857,NEW
2016,EY07291,F,0,6,7,-10,-0.02739726,NEW
2016,EY07291,F,2,35,6,-10,-0.024096386,NEW
2016,EY07291,F,2,36,7,0,0,NEW
2016,EY07291,F,0,10,11,-10,-0.03125,NEW
2016,EY07291,F,2,31,2,-20,-0.044444444,NEW
2016,EY07291,F,3,50,4,-10,-0.023529412,NEW
2016,EY07291,F,3,51,5,-5,-0.012048193,NEW
2016,EY07291,F,2,30,1,NA,NA,NEW
2016,EY07291,F,0,3,4,-5,-0.013157895,NEW
2016,FB32205,M,0,17,6,-10,-0.023809524,NEW
2016,FB32205,M,0,15,4,-10,-0.022988506,NEW
2016,EY07291,F,0,9,10,-10,-0.03030303,NEW
2016,EY07291,F,1,23,6,-10,-0.025,NEW
2016,EY07291,F,3,49,3,0,0,NEW
2016,FB32205,M,0,14,3,-15,-0.033333333,NEW
2016,FB32205,M,2,44,5,-15,-0.034090909,NEW
2016,EY07291,F,0,5,6,-10,-0.026666667,NEW
2016,FB32205,M,2,43,4,-10,-0.022222222,NEW
2016,FB32205,M,2,42,3,-10,-0.02173913,NEW
2016,EY07291,F,2,39,10,-5,-0.013333333,NEW
2016,EY07291,F,1,22,5,0,0,NEW
2016,EY07291,F,3,47,1,NA,NA,NEW
2016,FB32205,M,0,13,2,-25,-0.052631579,NEW
2016,EY07291,F,3,48,2,-25,-0.055555556,NEW
2016,FB32205,M,1,24,1,NA,NA,NEW
2016,FB32205,M,1,29,6,-10,-0.024096386,NEW
2016,FB32205,M,2,40,1,NA,NA,NEW
2016,FB32205,M,2,41,2,-20,-0.041666667,NEW
2016,FB32205,M,0,12,1,NA,NA,NEW
