burrow,year,stintID,ring,sex,start_mass,DSL,foragetrip,partnerincoming,exp
111,2017,0,EX93803,F,NA,16,6,NA,UNKNOWN
111,2017,1,EX93803,F,NA,32,5,NA,UNKNOWN
111,2017,0,EZ01641,M,NA,10,6,NA,UNKNOWN
111,2017,1,EZ01641,M,NA,22,10,NA,UNKNOWN
111,2017,2,EZ01641,M,NA,37,8,NA,UNKNOWN
120,2015,1,FB30024,F,410,14,7,435,EXP
120,2015,0,FB30098,M,400,8,6,480,EXP
120,2015,0,FB30024,F,390,1,7,NA,EXP
120,2015,3,FB30024,F,375,40,8,455,EXP
120,2015,1,FB30098,M,370,21,4,410,EXP
120,2015,2,FB30098,M,365,33,7,435,EXP
120,2015,2,FB30024,F,385,25,8,430,EXP
123,2016,1,FB32205,M,405,30,10,450,NEW
123,2016,2,EY07291,F,370,40,7,480,NEW
123,2016,0,EY07291,F,310,11,7,NA,NEW
123,2016,0,FB32205,M,410,18,6,440,NEW
123,2016,1,EY07291,F,390,24,6,450,NEW
129,2016,6,EY07295,M,435,46,5,455,EXP
129,2016,4,EY07295,M,390,32,2,390,EXP
129,2016,5,EY07295,M,415,35,6,415,EXP
129,2016,0,EX93991,F,440,9,6,470,EXP
129,2016,1,EY07295,M,435,4,5,435,EXP
129,2016,0,EY07295,M,425,2,1,NA,EXP
129,2016,1,EX93991,F,430,21,14,450,EXP
129,2016,2,EX93991,F,380,41,5,490,EXP
129,2016,3,EY07295,M,365,30,1,415,EXP
129,2016,2,EY07295,M,370,15,6,475,EXP
129,2017,2,EY07395,M,NA,32,6,NA,UNKNOWN
129,2017,1,EY07395,M,NA,18,7,NA,UNKNOWN
129,2017,0,EX93991,F,NA,11,7,NA,UNKNOWN
129,2017,1,EX93991,F,NA,25,7,NA,UNKNOWN
129,2017,0,EY07395,M,NA,6,5,NA,UNKNOWN
130,2015,2,EL60658,M,400,31,10,475,UNKNOWN
130,2015,1,EL60762,F,335,22,9,475,UNKNOWN
130,2015,0,EL60658,M,465,1,3,NA,UNKNOWN
130,2015,1,EL60658,M,390,13,9,420,UNKNOWN
130,2015,0,EL60762,F,370,4,9,475,UNKNOWN
130,2015,2,EL60762,F,365,41,8,485,UNKNOWN
130,2017,0,EZ72881,F,NA,31,7,NA,UNKNOWN
130,2017,0,FB32246,M,NA,22,9,NA,UNKNOWN
130,2017,1,FB32246,M,NA,37,11,NA,UNKNOWN
132,2019,5,FB32329,F,400,30,5,400,EXP
132,2019,3,EZ88864,M,450,22,13,430,EXP
132,2019,4,FB32329,F,385,25,4,410,EXP
132,2019,0,EZ88864,M,430,4,5,460,EXP
132,2019,0,FB32329,F,430,1,3,NA,EXP
132,2019,1,EZ88864,M,465,11,7,435,EXP
132,2019,2,FB32329,F,415,9,7,425,EXP
132,2019,2,EZ88864,M,435,19,2,435,EXP
132,2019,3,FB32329,F,390,21,1,450,EXP
132,2019,1,FB32329,F,460,5,1,480,EXP
135,2019,1,FB30681,F,465,11,6,470,EXP
135,2019,3,FB32330,M,365,46,6,490,EXP
135,2019,2,FB30681,F,410,24,6,475,EXP
135,2019,1,FB32330,M,430,17,7,470,EXP
135,2019,3,FB30681,F,425,37,9,445,EXP
135,2019,2,FB32330,M,425,30,7,460,EXP
135,2019,0,FB32330,M,410,6,5,485,EXP
135,2019,0,FB30681,F,455,1,5,NA,EXP
139,2015,0,FB30303,M,380,5,6,NA,EXP
139,2015,0,EX93603,F,465,11,7,430,EXP
14,2017,1,EL60769,M,NA,23,24,NA,EXP
14,2017,0,FB30109,F,NA,19,4,NA,EXP
14,2017,0,EL60769,M,NA,12,7,NA,EXP
140,2015,0,FB30072,M,455,7,6,NA,EXP
140,2015,1,FB30072,M,425,19,1,440,EXP
140,2015,0,EX93604,F,400,13,10,495,EXP
140,2015,2,FB30072,M,440,23,8,445,EXP
140,2016,2,EK93604,F,395,32,7,500,UNKNOWN
140,2016,1,FB30072,M,430,25,7,445,UNKNOWN
140,2016,0,FB30072,M,440,11,7,490,UNKNOWN
140,2016,2,FB30072,M,470,39,7,455,UNKNOWN
140,2016,1,EK93604,F,440,18,7,455,UNKNOWN
140,2016,0,EK93604,F,375,3,8,NA,UNKNOWN
145,2016,0,EZ01622,M,385,8,4,NA,EXP
145,2016,2,EX93861,F,360,37,8,440,EXP
145,2016,2,EZ01622,M,410,25,12,455,EXP
145,2016,0,EX93861,F,465,12,3,480,EXP
145,2016,1,EZ01622,M,465,15,3,450,EXP
145,2016,1,EX93861,F,430,18,7,470,EXP
147,2017,1,FB30504,M,NA,23,6,NA,NEW
147,2017,2,FB30504,M,NA,37,9,NA,NEW
147,2017,1,FB32172,F,NA,29,8,NA,NEW
147,2017,0,FB32172,F,NA,17,6,NA,NEW
147,2017,0,FB30504,M,NA,13,4,NA,NEW
15,2017,0,EB52885,M,NA,4,5,NA,NEW
15,2017,0,EY07369,F,NA,9,3,NA,NEW
15,2017,2,EB52885,M,NA,23,8,NA,NEW
15,2017,2,EY07369,F,NA,31,9,NA,NEW
15,2017,1,EB52885,M,NA,12,5,NA,NEW
15,2017,1,EY07369,F,NA,17,6,NA,NEW
150,2019,2,EX93815,M,400,33,8,435,UNKNOWN
150,2019,0,EX93849,F,380,9,6,455,UNKNOWN
150,2019,0,EX93815,M,440,3,6,NA,UNKNOWN
150,2019,1,EX93849,F,355,26,7,445,UNKNOWN
150,2019,1,EX93815,M,NA,15,11,430,UNKNOWN
150,2019,2,EX93849,F,390,41,9,470,UNKNOWN
151,2016,2,FB24525,F,395,28,6,460,EXP
151,2016,0,FB30392,M,470,3,2,NA,EXP
151,2016,0,FB24525,F,400,5,5,480,EXP
151,2016,1,FB30392,M,440,10,4,415,EXP
151,2016,1,FB24525,F,390,14,8,505,EXP
151,2016,3,FB30392,M,395,34,7,425,EXP
151,2016,2,FB30392,M,420,22,6,440,EXP
151,2017,1,FB24525,F,NA,29,7,NA,EXP
151,2017,0,FB30392,M,NA,21,8,NA,EXP
151,2017,1,FB30392,M,NA,36,5,NA,EXP
151,2017,2,FB24525,F,NA,41,7,NA,EXP
151,2017,0,FB24525,F,NA,14,7,NA,EXP
158,2019,2,EK59614,F,400,17,6,450,EXP
158,2019,1,EZ88854,M,455,9,2,455,EXP
158,2019,0,EK59614,F,480,1,4,NA,EXP
158,2019,1,EK59614,F,410,11,3,460,EXP
158,2019,4,EK59614,F,425,47,1,410,EXP
158,2019,3,EZ88854,M,405,23,4,490,EXP
158,2019,6,EZ88854,M,385,45,2,385,EXP
158,2019,4,EZ88854,M,435,28,3,435,EXP
158,2019,5,EZ88854,M,360,43,1,435,EXP
158,2019,2,EZ88854,M,445,14,3,425,EXP
158,2019,3,EK59614,F,390,31,14,455,EXP
158,2019,0,EZ88854,M,410,5,3,480,EXP
159,2016,0,EZ01946,F,430,1,9,NA,NEW
159,2016,1,EZ01946,F,405,16,9,450,NEW
159,2016,0,EX93860,M,395,10,6,460,NEW
159,2016,1,EX93860,M,395,25,12,450,NEW
161,2019,2,EX93859,M,385,16,1,385,NEW
161,2019,3,EZ72789,F,390,37,8,410,NEW
