burrow,year,stintID,start_date,ring,sex,start_mass,burrowID,stintlength,DSL,end_mass,endsInNeglect,followsNeglect,exp,whoFirst
111,2017,0,16/05/2017,EZ01641,M,NA,111.2017,4,7,NA,NO,NO,UNKNOWN,nostart
111,2017,0,20/05/2017,EX93803,F,NA,111.2017,6,11,NA,NO,NO,UNKNOWN,nostart
111,2017,1,26/05/2017,EZ01641,M,NA,111.2017,6,17,NA,NO,NO,UNKNOWN,nostart
111,2017,1,01/06/2017,EX93803,F,NA,111.2017,10,23,NA,NO,NO,UNKNOWN,nostart
111,2017,2,11/06/2017,EZ01641,M,NA,111.2017,5,33,NA,NO,NO,UNKNOWN,nostart
111,2017,3,24/06/2017,EZ01641,M,NA,111.2017,7,46,NA,NO,NO,UNKNOWN,nostart
120,2015,0,10/05/2015,FB30024,F,390,120.2015,1,1,390,NO,NO,EXP,F
120,2015,0,11/05/2015,FB30098,M,445,120.2015,7,2,400,NO,NO,EXP,F
120,2015,1,18/05/2015,FB30024,F,480,120.2015,6,9,410,NO,NO,EXP,F
120,2015,1,24/05/2015,FB30098,M,435,120.2015,7,15,370,NO,NO,EXP,F
120,2015,2,31/05/2015,FB30024,F,410,120.2015,4,22,385,NO,NO,EXP,F
120,2015,2,04/06/2015,FB30098,M,430,120.2015,8,26,365,NO,NO,EXP,F
120,2015,3,12/06/2015,FB30024,F,435,120.2015,7,34,375,NO,NO,EXP,F
120,2015,4,27/06/2015,FB30024,F,440,120.2015,3,49,400,NO,NO,EXP,F
123,2016,0,09/05/2016,EY07291,F,405,123.2016,11,1,310,YES,NO,NEW,F
123,2016,0,21/05/2016,FB32205,M,475,123.2016,6,13,410,NO,YES,NEW,F
123,2016,1,27/05/2016,EY07291,F,440,123.2016,6,19,390,NO,NO,NEW,F
123,2016,1,02/06/2016,FB32205,M,450,123.2016,6,25,405,NO,NO,NEW,F
123,2016,2,08/06/2016,EY07291,F,450,123.2016,10,31,370,NO,NO,NEW,F
123,2016,3,25/06/2016,EY07291,F,450,123.2016,5,48,410,NO,NO,NEW,F
129,2016,0,12/05/2016,EY07295,M,435,129.2016,2,1,425,YES,NO,EXP,M
129,2016,1,15/05/2016,EY07295,M,435,129.2016,1,4,435,YES,YES,EXP,M
129,2016,0,18/05/2016,EX93991,F,465,129.2016,3,7,440,NO,YES,EXP,M
129,2016,2,21/05/2016,EY07295,M,470,129.2016,6,10,370,NO,NO,EXP,M
129,2016,1,27/05/2016,EX93991,F,475,129.2016,6,16,430,NO,NO,EXP,M
129,2016,3,02/06/2016,EY07295,M,450,129.2016,9,22,365,YES,NO,EXP,M
129,2016,4,12/06/2016,EY07295,M,390,129.2016,1,32,390,YES,YES,EXP,M
129,2016,5,15/06/2016,EY07295,M,415,129.2016,1,35,415,NO,YES,EXP,M
129,2016,2,16/06/2016,EX93991,F,415,129.2016,6,36,380,NO,NO,EXP,M
129,2016,6,22/06/2016,EY07295,M,490,129.2016,5,42,435,NO,NO,EXP,M
129,2016,7,02/07/2016,EY07295,M,495,129.2016,4,52,460,NO,NO,EXP,M
129,2017,0,16/05/2017,EY07395,M,NA,129.2017,3,4,NA,NO,NO,UNKNOWN,nostart
129,2017,0,19/05/2017,EX93991,F,NA,129.2017,5,7,NA,NO,NO,UNKNOWN,nostart
129,2017,1,24/05/2017,EY07395,M,NA,129.2017,7,12,NA,NO,NO,UNKNOWN,nostart
129,2017,1,31/05/2017,EX93991,F,NA,129.2017,7,19,NA,NO,NO,UNKNOWN,nostart
129,2017,2,07/06/2017,EY07395,M,NA,129.2017,7,26,NA,NO,NO,UNKNOWN,nostart
129,2017,2,14/06/2017,EX93991,F,NA,129.2017,6,33,NA,NO,NO,UNKNOWN,nostart
129,2017,3,20/06/2017,EY07395,M,NA,129.2017,7,39,NA,NO,NO,UNKNOWN,nostart
130,2015,0,14/05/2015,EL60658,M,465,130.2015,1,1,465,NO,NO,UNKNOWN,M
130,2015,0,15/05/2015,EL60762,F,395,130.2015,3,2,370,NO,NO,UNKNOWN,M
130,2015,1,18/05/2015,EL60658,M,475,130.2015,9,5,390,NO,NO,UNKNOWN,M
130,2015,1,27/05/2015,EL60762,F,420,130.2015,9,14,335,NO,NO,UNKNOWN,M
130,2015,2,05/06/2015,EL60658,M,475,130.2015,9,23,400,NO,NO,UNKNOWN,M
130,2015,2,14/06/2015,EL60762,F,475,130.2015,10,32,365,NO,NO,UNKNOWN,M
130,2015,3,24/06/2015,EL60658,M,485,130.2015,8,42,405,NO,NO,UNKNOWN,M
130,2017,0,15/05/2017,FB32246,M,NA,130.2017,7,16,NA,YES,NO,UNKNOWN,nostart
130,2017,0,23/05/2017,EZ72881,F,NA,130.2017,8,24,NA,NO,YES,UNKNOWN,nostart
130,2017,1,31/05/2017,FB32246,M,NA,130.2017,6,32,NA,YES,NO,UNKNOWN,nostart
130,2017,2,17/06/2017,FB32246,M,NA,130.2017,9,49,NA,NO,NO,UNKNOWN,nostart
132,2019,0,05/05/2019,FB32329,F,430,132.2019,1,1,430,NO,NO,EXP,F
132,2019,0,06/05/2019,EZ88864,M,445,132.2019,3,2,430,NO,NO,EXP,F
132,2019,1,09/05/2019,FB32329,F,460,132.2019,1,5,460,YES,NO,EXP,F
132,2019,2,11/05/2019,FB32329,F,425,132.2019,3,7,415,NO,YES,EXP,F
132,2019,1,14/05/2019,EZ88864,M,480,132.2019,2,10,465,YES,NO,EXP,F
132,2019,3,21/05/2019,FB32329,F,435,132.2019,5,17,390,NO,YES,EXP,F
132,2019,2,23/05/2019,EZ88864,M,435,132.2019,1,19,435,NO,NO,EXP,F
132,2019,3,26/05/2019,EZ88864,M,450,132.2019,1,22,450,NO,NO,EXP,F
132,2019,4,27/05/2019,FB32329,F,430,132.2019,3,23,385,YES,NO,EXP,F
132,2019,5,03/06/2019,FB32329,F,400,132.2019,1,30,400,YES,YES,EXP,F
132,2019,6,09/06/2019,FB32329,F,465,132.2019,1,36,465,NO,NO,EXP,F
135,2019,0,05/05/2019,FB30681,F,455,135.2019,1,1,455,NO,NO,EXP,F
135,2019,0,06/05/2019,FB32330,M,460,135.2019,5,2,410,NO,NO,EXP,F
135,2019,1,11/05/2019,FB30681,F,485,135.2019,5,7,465,NO,NO,EXP,F
135,2019,1,16/05/2019,FB32330,M,470,135.2019,6,12,430,NO,NO,EXP,F
135,2019,2,22/05/2019,FB30681,F,470,135.2019,7,18,410,NO,NO,EXP,F
135,2019,2,29/05/2019,FB32330,M,475,135.2019,6,25,425,NO,NO,EXP,F
135,2019,3,04/06/2019,FB30681,F,460,135.2019,7,31,425,NO,NO,EXP,F
135,2019,3,11/06/2019,FB32330,M,445,135.2019,9,38,365,NO,NO,EXP,F
135,2019,4,20/06/2019,FB30681,F,490,135.2019,6,47,430,NO,NO,EXP,F
139,2015,0,07/05/2015,FB30303,M,435,139.2015,5,1,380,NO,NO,EXP,M
139,2015,0,12/05/2015,EX93603,F,510,139.2015,6,6,465,NO,NO,EXP,M
139,2015,1,18/05/2015,FB30303,M,430,139.2015,2,12,425,YES,NO,EXP,M
14,2017,0,15/05/2017,EL60769,M,NA,14.2017,7,6,NA,NO,NO,EXP,nostart
14,2017,0,22/05/2017,FB30109,F,NA,14.2017,7,13,NA,NO,NO,EXP,nostart
14,2017,1,29/05/2017,EL60769,M,NA,14.2017,4,20,NA,NO,NO,EXP,nostart
14,2017,2,26/06/2017,EL60769,M,NA,14.2017,3,48,NA,NO,NO,EXP,nostart
140,2015,0,12/05/2015,FB30072,M,510,140.2015,7,1,455,NO,NO,EXP,M
140,2015,0,19/05/2015,EX93604,F,455,140.2015,6,8,400,NO,NO,EXP,M
140,2015,1,25/05/2015,FB30072,M,495,140.2015,6,14,425,YES,NO,EXP,M
140,2015,2,01/06/2015,FB30072,M,445,140.2015,3,21,440,NO,YES,EXP,M
140,2015,3,12/06/2015,FB30072,M,480,140.2015,4,32,430,NO,NO,EXP,M
