year,burrow,outcome,incDur,count.F,count.M,NO.BIRD,femper,malper,exp,julian,whoFirst
2017,111,HATCHED,52,3,4,0,0.52173913,0.47826087,UNKNOWN,130,nostart
2015,120,FAILED,50,5,4,0,0.411764706,0.588235294,EXP,130,F
2016,123,HATCHED,51,4,3,1,0.62745098,0.37254902,NEW,129,F
2016,129,HATCHED,54,4,8,6,0.408163265,0.591836735,EXP,132,M
2017,129,HATCHED,50,3,4,0,0.5,0.5,UNKNOWN,133,nostart
2015,130,FAILED,51,4,4,0,0.480769231,0.519230769,UNKNOWN,134,M
2017,130,HATCHED,57,2,3,0,0.45,0.55,UNKNOWN,120,nostart
2019,132,FAILED,36,7,5,15,0.652173913,0.347826087,EXP,125,F
2019,135,HATCHED,54,5,5,0,0.472727273,0.527272727,EXP,125,F
2015,139,FAILED,20,2,2,5,0.5625,0.4375,EXP,127,M
2017,14,HATCHED,50,2,3,0,0.688888889,0.311111111,EXP,130,nostart
2015,140,FAILED,34,2,4,1,0.411764706,0.588235294,EXP,132,M
2016,140,HATCHED,50,4,4,0,0.470588235,0.529411765,UNKNOWN,136,F
2016,145,HATCHED,48,4,4,0,0.479166667,0.520833333,EXP,130,nostart
2017,147,HATCHED,49,3,4,0,0.463414634,0.536585366,NEW,128,nostart
2017,15,HATCHED,49,4,4,0,0.551020408,0.448979592,NEW,133,M
2019,150,HATCHED,50,4,4,0,0.509803922,0.490196078,UNKNOWN,132,M
2016,151,HATCHED,48,4,5,0,0.395833333,0.604166667,EXP,132,M
2017,151,HATCHED,49,4,3,0,0.511627907,0.488372093,EXP,128,nostart
2019,158,HATCHED,50,6,8,1,0.423076923,0.576923077,EXP,NA,F
2016,159,FAILED,42,3,3,0,0.441860465,0.558139535,NEW,127,F
2019,161,FAILED,51,6,12,17,0.581395349,0.418604651,NEW,133,M
2016,163,FAILED,34,5,3,14,0.666666667,0.333333333,UNKNOWN,130,F
2017,165,HATCHED,49,3,3,0,0.352941176,0.647058824,UNKNOWN,121,nostart
